code,display_code,description,level,parent_code,is_leaf,section_code,division_code,group_code,class_code,source_version,is_special_annex,is_active
A,A,"Producción agropecuaria, forestación y pesca",section,,False,A,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
B,B,Explotación de minas y canteras Página 5 de 26,section,,False,B,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
C,C,Industrias Manufactureras,section,,False,C,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
D,D,"Suministro de electricidad, gas, vapor y aire acondicionado",section,,False,D,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
E,E,"Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento",section,,False,E,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
F,F,Construcción,section,,False,F,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
G,G,Comercio al por mayor y al por menor; reparación de los vehículos de motor y de las motocicletas.,section,,False,G,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
H,H,Transporte y almacenamiento,section,,False,H,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
I,I,Alojamiento y servicios de comida,section,,False,I,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
J,J,Informática y comunicación Página 19 de 26,section,,False,J,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
K,K,Actividades financieras y de seguros.,section,,False,K,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
L,L,Actividades inmobiliarias,section,,False,L,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
M,M,"Actividades profesionales, científicas y técnicas",section,,False,M,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
N,N,Actividades administrativas y servicios de apoyo,section,,False,N,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
O,O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,section,,False,O,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
P,P,Enseñanza,section,,False,P,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
Q,Q,Servicios sociales y relacionados con la Salud humana.,section,,False,Q,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
R,R,"Artes, entretenimiento y recreación",section,,False,R,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
S,S,Otras actividades de servicio,section,,False,S,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
T,T,"Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de producción de bienes y servicios de los hogares para uso propio.",section,,False,T,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
U,U,Actividades de organizaciones y órganos extraterritoriales,section,,False,U,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
V,V,"Anexo al manual de Clasificaci?n Industrial Internacional Uniforme, revisi?n 4",section,,False,V,,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,True,True
01,01,"Producción agropecuaria, caza y actividades de servicios conexas",division,A,False,A,01,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
02,02,Forestación y extracción de madera,division,A,False,A,02,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
03,03,Pesca y Acuicultura,division,A,False,A,03,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
05,05,"Extracción de carbón y lignito, extracción de turba",division,B,False,B,05,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
06,06,Extracción de petróleo crudo y gas natural,division,B,False,B,06,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
07,07,Extracción de minerales metalíferos,division,B,False,B,07,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
08,08,Explotación de otras minas y canteras,division,B,False,B,08,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
09,09,Actividades de apoyo a la explotación de minas,division,B,False,B,09,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
10,10,Elaboración de productos alimenticios,division,C,False,C,10,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
11,11,Elaboración de bebidas,division,C,False,C,11,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
12,12,,division,C,False,C,12,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
13,13,Fabricación de productos textiles,division,C,False,C,13,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
14,14,Fabricación de prendas de vestir,division,C,False,C,14,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
15,15,Fabricación de cueros y productos conexos,division,C,False,C,15,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
16,16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",division,C,False,C,16,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
17,17,Fabricación de papel y de los productos de papel,division,C,False,C,17,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
18,18,Actividades de impresión y reproducción de grabaciones,division,C,False,C,18,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
19,19,Fabricación de coque y de productos de la refinación del petróleo,division,C,False,C,19,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
20,20,Fabricación de sustancias y productos químicos,division,C,False,C,20,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
21,21,,division,C,False,C,21,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
22,22,Fabricación de productos de caucho y plástico,division,C,False,C,22,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
23,23,Fabricación de otros productos minerales no metálicos,division,C,False,C,23,,,uy-ciiu-rev4-dgi-ine-v1-2026-03-15,False,True
